phi,ratio,theta,sigma_s,k_star,seed,horizon,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0.002,2.00,0.1,0.05,4,3010,1800,1800,483.0733333333333,0.8597245414774844,CONTROLLED,0,0,857,300,1,11bc1702,600,365.06333333333333,0.9174389831901314,CONTROLLED,0,0,250.97666666666666,300,1,29613417,NA,NA,230733,0.06067769798172515,30.33884899086232,62.3211728485034
0.004,2.00,0.1,0.05,4,3001,1800,1800,539.6066666666667,0.7243300675800892,CONTROLLED,0,0,840.0533333333333,300,1,f24e1b2c,600,399.31666666666666,0.9040777995742727,CONTROLLED,0,0,250,300,1,20efa02f,NA,NA,205364,0.1126871011317884,28.171775282947,60.801500781935964
0.004,2.00,0.1,0.05,4,3002,1800,1800,625.85,0.6728555830736864,CONTROLLED,0,0,857.9533333333334,300,1,d010f41b,600,430.06,0.8950766559704847,CONTROLLED,0,0,262.6766666666667,300,1,d0f6f7a0,NA,NA,208281,0.11493421609031133,28.73355402257942,61.5585887709849
0.004,2.00,0.1,0.05,4,3003,1800,1800,599.79,0.6599087458388214,CONTROLLED,0,0,839.04,300,1,1d7352fd,600,406.72333333333336,0.9033331421031495,CONTROLLED,0,0,247.51,300,1,d8602518,NA,NA,202644,0.11113154114725184,27.7828852868129,60.8486707714835
0.004,2.00,0.1,0.05,4,3004,1800,1800,432.17,0.7459024612228212,CONTROLLED,0,0,833.9666666666667,300,1,cfce7eca,600,415.7033333333333,0.9086207311303734,CONTROLLED,0,0,251.78666666666666,300,1,ea9e7405,NA,NA,206286,0.11272060783904596,28.180151959762508,60.203345450415036
0.004,2.00,0.1,0.05,4,3005,1800,1800,457.5233333333333,0.5683280269858733,CONTROLLED,0,0,843.3133333333334,300,1,06bdc762,600,384.38666666666666,0.9031183877345729,CONTROLLED,0,0,259.7,300,1,df072fa9,NA,NA,207026,0.11319028368996381,28.297570922490564,61.0665399482446
0.004,2.00,0.1,0.05,4,3006,1800,1800,531.0533333333333,0.6348452132868011,CONTROLLED,0,0,824.2566666666667,300,1,472c57e7,600,390.43333333333334,0.8997524118500811,CONTROLLED,0,0,243.51666666666668,300,1,df555692,NA,NA,200842,0.11097061251647847,27.74265312912004,59.539429776174565
0.004,2.00,0.1,0.05,4,3007,1800,1800,561.4066666666666,0.7797259265416632,CONTROLLED,0,0,842.1066666666667,300,1,4d635da6,600,423.63666666666666,0.9038326868149593,CONTROLLED,0,0,255.09,300,1,9097bfe7,NA,NA,206996,0.11401833179061902,28.504582947655123,60.88795856222698
0.004,2.00,0.1,0.05,4,3008,1800,1800,736.6266666666667,0.6859648487700689,CONTROLLED,0,0,838.58,300,1,00d12eaa,600,413.3066666666667,0.918260855539067,CONTROLLED,0,0,248.23666666666668,300,1,72196516,NA,NA,206111,0.11302906572713795,28.257266431783947,61.6351353061838
0.004,2.00,0.1,0.05,4,3009,1800,1800,602.81,0.6521291949370448,CONTROLLED,0,0,822.9066666666666,300,1,4976a722,600,418.1433333333333,0.8990617252457291,CONTROLLED,0,0,240.07666666666665,300,1,44e84d26,NA,NA,204029,0.11179025616135524,27.947564040338634,60.317445177316884
0.004,2.00,0.1,0.05,4,3010,1800,1800,547.7766666666666,0.5675670741725642,CONTROLLED,0,0,817.1566666666666,300,1,f319d40e,600,419.5,0.8849900675407231,CONTROLLED,0,0,232.64666666666668,300,1,f9b39973,NA,NA,201087,0.11056152259001634,27.640380647503758,61.48383765630581
0.008,2.00,0.1,0.05,4,3001,1800,1271,1549.45,0.479516387535362,RUNAWAY,0,1,554.2066666666667,300,1,c133db7b,600,517.88,0.8292525939084987,CONTROLLED,0,0,246.07333333333332,300,1,ef169360,1271,NA,123522,0.14186892658682052,17.733615823353034,40.55381143979423
0.008,2.00,0.1,0.05,4,3002,1800,1358,1564.51,0.33744963811885725,RUNAWAY,0,1,594.6766666666666,300,1,31a5a00e,600,515.9966666666667,0.8336164962305959,CONTROLLED,0,0,242.50666666666666,300,1,b33816d4,1358,NA,129453,0.14910654892203426,18.63831861525383,42.97451829017979
0.008,2.00,0.1,0.05,4,3003,1800,1160,1503.68,0.4649437823650422,RUNAWAY,0,1,509.97333333333336,300,1,a3ec3add,600,527.66,0.8027391375759643,CONTROLLED,0,0,257.00333333333333,300,1,6dbf090d,1160,NA,116552,0.1322349883545849,16.529373544322997,37.97715208454663
0.008,2.00,0.1,0.05,4,3004,1800,1174,1524.9733333333334,0.3127748681944165,RUNAWAY,0,1,521.6166666666667,300,1,d72e5187,600,504.1933333333333,0.8225614512951381,CONTROLLED,0,0,256.74,300,1,4f7cdc2c,1174,NA,121221,0.13684430508515324,17.105538135645254,37.50294906089033
0.008,2.00,0.1,0.05,4,3005,1800,1331,1542.33,0.3863267480586731,RUNAWAY,0,1,574.0333333333333,300,1,1044fab0,600,505.30333333333334,0.8495029388288223,CONTROLLED,0,0,245.63333333333333,300,1,cd6762a7,1331,NA,125324,0.1435077424225556,17.93846780281962,41.58127377342233
