arm,theta,sigma_s,k_star,seed,stopped_at,copies_per_genome,silenced_fraction,extinct,saturated,saturation_generation,extinction_generation,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,ever_had_repertoire
A-conscription,0.15,0.02,56,1,600,107.94,0.9471928849360756,0,0,NA,NA,32.82,300,1,1
A-conscription,0.15,0.02,56,2,600,112.48333333333333,0.9700103719069492,0,0,NA,NA,26.653333333333332,300,1,1
A-conscription,0.15,0.02,56,3,600,0,0,1,0,NA,275,1,300,1,1
A-conscription,0.15,0.02,56,4,600,0,0,1,0,NA,229,1,300,1,1
A-conscription,0.15,0.02,56,5,600,97.62,0.9570784675271461,0,0,NA,NA,26.4,300,1,1
A-conscription,0.15,0.02,56,6,600,0,0,1,0,NA,261,1,300,1,1
A-conscription,0.15,0.02,56,7,600,0,0,1,0,NA,483,4,300,1,1
A-conscription,0.15,0.02,56,8,600,41.64333333333333,0.9947970863683663,0,0,NA,NA,14.163333333333334,300,1,1
A-conscription,0.15,0.02,56,9,600,0,0,1,0,NA,285,1,300,1,1
A-conscription,0.15,0.02,56,10,600,83.21333333333334,0.9937910591251402,0,0,NA,NA,25.756666666666668,300,1,1
B-innate,0.15,0.02,56,1,600,0,0,1,0,NA,220,1,300,0,1
B-innate,0.15,0.02,56,2,126,1543.1733333333334,0.026348303927837012,0,1,126,NA,1,300,0,1
B-innate,0.15,0.02,56,3,135,1502.7633333333333,0.006958292390241089,0,1,135,NA,1,300,0,1
B-innate,0.15,0.02,56,4,600,0,0,1,0,NA,291,1,300,0,1
B-innate,0.15,0.02,56,5,600,0,0,1,0,NA,278,1,300,0,1
B-innate,0.15,0.02,56,6,600,0,0,1,0,NA,271,1,300,0,1
B-innate,0.15,0.02,56,7,600,0,0,1,0,NA,394,1,300,0,1
B-innate,0.15,0.02,56,8,600,0,0,1,0,NA,266,1,300,0,1
B-innate,0.15,0.02,56,9,600,0,0,1,0,NA,269,1,300,0,1
B-innate,0.15,0.02,56,10,151,1595.1266666666668,0.008300281273378498,0,1,151,NA,1,300,0,1
A-conscription,0.15,0.03,25,1,600,216.23,0.9403413032419183,0,0,NA,NA,78.94333333333333,300,1,1
A-conscription,0.15,0.03,25,2,600,134.63,0.9695461635593849,0,0,NA,NA,46.67333333333333,300,1,1
A-conscription,0.15,0.03,25,3,600,214.27666666666667,0.9488200612914768,0,0,NA,NA,86.38333333333334,300,1,1
A-conscription,0.15,0.03,25,4,600,193.63,0.9616106319613008,0,0,NA,NA,82.19666666666667,300,1,1
A-conscription,0.15,0.03,25,5,600,193.18333333333334,0.955655249762747,0,0,NA,NA,79.78,300,1,1
A-conscription,0.15,0.03,25,6,600,194.82,0.9409369332375184,0,0,NA,NA,86.45,300,1,1
A-conscription,0.15,0.03,25,7,600,210.57666666666665,0.964747597866177,0,0,NA,NA,78.81,300,1,1
A-conscription,0.15,0.03,25,8,600,194.96333333333334,0.9418352168783873,0,0,NA,NA,79.73666666666666,300,1,1
A-conscription,0.15,0.03,25,9,600,208.88333333333333,0.9681002154312615,0,0,NA,NA,69.12,300,1,1
A-conscription,0.15,0.03,25,10,600,193.54333333333332,0.9579594578302878,0,0,NA,NA,84.5,300,1,1
B-innate,0.15,0.03,25,1,93,1525.4533333333334,0.026280712181733955,0,1,93,NA,1,300,0,1
B-innate,0.15,0.03,25,2,132,1606.25,0.03400674448767834,0,1,132,NA,1,300,0,1
B-innate,0.15,0.03,25,3,114,1676.1866666666667,0.026323639371907664,0,1,114,NA,1,300,0,1
B-innate,0.15,0.03,25,4,225,1625.15,0.012419366417458902,0,1,225,NA,1,300,0,1
B-innate,0.15,0.03,25,5,116,1587.62,0.02035961586105827,0,1,116,NA,1,300,0,1
B-innate,0.15,0.03,25,6,122,1612.4866666666667,0.01646525242585985,0,1,122,NA,1,300,0,1
B-innate,0.15,0.03,25,7,147,1540.0666666666666,0.02354876412276525,0,1,147,NA,1,300,0,1
B-innate,0.15,0.03,25,8,95,1588.56,0.024235785868963085,0,1,95,NA,1,300,0,1
B-innate,0.15,0.03,25,9,161,1611.5266666666666,0.011477729192608251,0,1,161,NA,1,300,0,1
B-innate,0.15,0.03,25,10,99,1559.25,0.027579498690609803,0,1,99,NA,1,300,0,1
A-conscription,0.2,0.015,178,1,600,0,0,1,0,NA,279,1,300,1,1
A-conscription,0.2,0.015,178,2,600,0,0,1,0,NA,240,1,300,1,1
A-conscription,0.2,0.015,178,3,600,0,0,1,0,NA,227,1,300,1,1
A-conscription,0.2,0.015,178,4,600,0,0,1,0,NA,291,1,300,1,1
A-conscription,0.2,0.015,178,5,600,0,0,1,0,NA,278,1,300,1,1
A-conscription,0.2,0.015,178,6,600,0,0,1,0,NA,271,1,300,1,1
A-conscription,0.2,0.015,178,7,600,0,0,1,0,NA,245,1,300,1,1
A-conscription,0.2,0.015,178,8,600,0,0,1,0,NA,266,1,300,1,1
A-conscription,0.2,0.015,178,9,600,0,0,1,0,NA,269,1,300,1,1
A-conscription,0.2,0.015,178,10,600,0,0,1,0,NA,249,1,300,1,1
B-innate,0.2,0.015,178,1,600,0,0,1,0,NA,279,1,300,0,1
B-innate,0.2,0.015,178,2,600,0,0,1,0,NA,240,1,300,0,1
B-innate,0.2,0.015,178,3,600,0,0,1,0,NA,227,1,300,0,1
B-innate,0.2,0.015,178,4,600,0,0,1,0,NA,291,1,300,0,1
B-innate,0.2,0.015,178,5,600,0,0,1,0,NA,278,1,300,0,1
B-innate,0.2,0.015,178,6,600,0,0,1,0,NA,271,1,300,0,1
B-innate,0.2,0.015,178,7,600,0,0,1,0,NA,245,1,300,0,1
B-innate,0.2,0.015,178,8,600,0,0,1,0,NA,266,1,300,0,1
B-innate,0.2,0.015,178,9,600,0,0,1,0,NA,269,1,300,0,1
B-innate,0.2,0.015,178,10,600,0,0,1,0,NA,249,1,300,0,1
A-conscription,0.2,0.02,100,1,600,0,0,1,0,NA,351,1,300,1,1
A-conscription,0.2,0.02,100,2,600,0,0,1,0,NA,327,1,300,1,1
A-conscription,0.2,0.02,100,3,600,0,0,1,0,NA,227,1,300,1,1
A-conscription,0.2,0.02,100,4,600,0,0,1,0,NA,291,1,300,1,1
A-conscription,0.2,0.02,100,5,600,0,0,1,0,NA,278,1,300,1,1
A-conscription,0.2,0.02,100,6,600,0,0,1,0,NA,342,1,300,1,1
A-conscription,0.2,0.02,100,7,600,0,0,1,0,NA,245,1,300,1,1
A-conscription,0.2,0.02,100,8,600,0,0,1,0,NA,266,1,300,1,1
A-conscription,0.2,0.02,100,9,600,0,0,1,0,NA,269,1,300,1,1
A-conscription,0.2,0.02,100,10,600,0,0,1,0,NA,249,1,300,1,1
B-innate,0.2,0.02,100,1,600,0,0,1,0,NA,279,1,300,0,1
B-innate,0.2,0.02,100,2,600,0,0,1,0,NA,240,1,300,0,1
B-innate,0.2,0.02,100,3,600,0,0,1,0,NA,227,1,300,0,1
B-innate,0.2,0.02,100,4,600,0,0,1,0,NA,291,1,300,0,1
B-innate,0.2,0.02,100,5,600,0,0,1,0,NA,278,1,300,0,1
B-innate,0.2,0.02,100,6,600,0,0,1,0,NA,271,1,300,0,1
B-innate,0.2,0.02,100,7,600,0,0,1,0,NA,245,1,300,0,1
B-innate,0.2,0.02,100,8,600,0,0,1,0,NA,266,1,300,0,1
B-innate,0.2,0.02,100,9,600,0,0,1,0,NA,269,1,300,0,1
B-innate,0.2,0.02,100,10,600,0,0,1,0,NA,249,1,300,0,1
A-conscription,0.2,0.03,44,1,600,158.25333333333333,0.9730390091835875,0,0,NA,NA,67.04666666666667,300,1,1
A-conscription,0.2,0.03,44,2,600,102.21666666666667,0.9861405511169086,0,0,NA,NA,30.78,300,1,1
A-conscription,0.2,0.03,44,3,600,85.37666666666667,0.9631437160816773,0,0,NA,NA,30,300,1,1
A-conscription,0.2,0.03,44,4,600,99.45333333333333,0.9845153505831881,0,0,NA,NA,34.71,300,1,1
A-conscription,0.2,0.03,44,5,600,154.42666666666668,0.9492315662234502,0,0,NA,NA,66.06666666666666,300,1,1
A-conscription,0.2,0.03,44,6,600,177.15333333333334,0.9533360930267565,0,0,NA,NA,53.626666666666665,300,1,1
A-conscription,0.2,0.03,44,7,600,151.61333333333334,0.9513894996042565,0,0,NA,NA,45.11666666666667,300,1,1
A-conscription,0.2,0.03,44,8,600,168.30666666666667,0.9669254535371941,0,0,NA,NA,54.093333333333334,300,1,1
