phi,ratio,theta,sigma_s,k_star,seed,horizon,predicted_t_sat,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,hash,stopped_at_600,copies_per_genome_600,silenced_fraction_600,outcome_600,extinct_600,saturated_600,entries_per_genome_600,max_genomes_with_repertoire_600,saw_nonzero_entry_600,hash_600,stopped_at_1800,copies_per_genome_1800,silenced_fraction_1800,outcome_1800,extinct_1800,saturated_1800,entries_per_genome_1800,max_genomes_with_repertoire_1800,saw_nonzero_entry_1800,hash_1800,saturation_generation,extinction_generation,captures,mean_displacement,mean_abs_s,max_abs_entry
0.0226,2.00,0.1,0.05,4,4001,1500,561.0738927004207,535,1509.9666666666667,0.30594494359698887,RUNAWAY,0,1,202.15,300,1,f1451062,535,1509.9666666666667,0.30594494359698887,RUNAWAY,0,1,202.15,300,1,f1451062,535,1509.9666666666667,0.30594494359698887,RUNAWAY,0,1,202.15,300,1,f1451062,535,NA,45147,0.14333085927238035,6.34207341913173,15.707748601178475
0.0226,2.00,0.1,0.05,4,4002,1500,561.0738927004207,517,1523.1566666666668,0.3460598275073477,RUNAWAY,0,1,207.04666666666665,300,1,a551c0b9,517,1523.1566666666668,0.3460598275073477,RUNAWAY,0,1,207.04666666666665,300,1,a551c0b9,517,1523.1566666666668,0.3460598275073477,RUNAWAY,0,1,207.04666666666665,300,1,a551c0b9,517,NA,45543,0.14787171002193586,6.542996018669859,14.904027343089227
0.0226,2.00,0.1,0.05,4,4003,1500,561.0738927004207,469,1580.5066666666667,0.37554623833707335,RUNAWAY,0,1,174.02333333333334,300,1,3c24e8ae,469,1580.5066666666667,0.37554623833707335,RUNAWAY,0,1,174.02333333333334,300,1,3c24e8ae,469,1580.5066666666667,0.37554623833707335,RUNAWAY,0,1,174.02333333333334,300,1,3c24e8ae,469,NA,40293,0.13251508479193802,5.863499327076925,13.95080119156633
0.0226,2.00,0.1,0.05,4,4004,1500,561.0738927004207,566,1541.4033333333334,0.4183136146498537,RUNAWAY,0,1,213.66666666666666,300,1,4802ea16,566,1541.4033333333334,0.4183136146498537,RUNAWAY,0,1,213.66666666666666,300,1,4802ea16,566,1541.4033333333334,0.4183136146498537,RUNAWAY,0,1,213.66666666666666,300,1,4802ea16,566,NA,48199,0.15424427117372347,6.824967751049733,16.209392329969965
0.0226,2.00,0.1,0.05,4,4005,1500,561.0738927004207,530,1607.1166666666666,0.35369346759724973,RUNAWAY,0,1,193.02666666666667,300,1,f98f879d,530,1607.1166666666666,0.35369346759724973,RUNAWAY,0,1,193.02666666666667,300,1,f98f879d,530,1607.1166666666666,0.35369346759724973,RUNAWAY,0,1,193.02666666666667,300,1,f98f879d,530,NA,42964,0.13925433571144605,6.161696270417978,14.799743895301454
0.0226,2.00,0.1,0.05,4,4006,1500,561.0738927004207,498,1701.9566666666667,0.2815014875035988,RUNAWAY,0,1,193.05666666666667,300,1,4fad4ca1,498,1701.9566666666667,0.2815014875035988,RUNAWAY,0,1,193.05666666666667,300,1,4fad4ca1,498,1701.9566666666667,0.2815014875035988,RUNAWAY,0,1,193.05666666666667,300,1,4fad4ca1,498,NA,43095,0.14198933661182242,6.2827140093726825,14.332462502583548
0.0226,2.00,0.1,0.05,4,4007,1500,561.0738927004207,530,1556.3766666666668,0.3983461587062258,RUNAWAY,0,1,213.04333333333332,300,1,ac0ee774,530,1556.3766666666668,0.3983461587062258,RUNAWAY,0,1,213.04333333333332,300,1,ac0ee774,530,1556.3766666666668,0.3983461587062258,RUNAWAY,0,1,213.04333333333332,300,1,ac0ee774,530,NA,44217,0.14734529417242215,6.51970328196553,15.551441885485858
0.0226,2.00,0.1,0.05,4,4008,1500,561.0738927004207,499,1722.8166666666666,0.20222890808656366,RUNAWAY,0,1,186.28,300,1,7f26daad,499,1722.8166666666666,0.20222890808656366,RUNAWAY,0,1,186.28,300,1,7f26daad,499,1722.8166666666666,0.20222890808656366,RUNAWAY,0,1,186.28,300,1,7f26daad,499,NA,42664,0.13716278538333188,6.069149795722722,14.92553539694405
0.0226,2.00,0.1,0.05,4,4009,1500,561.0738927004207,481,1514.3466666666666,0.3906569169542861,RUNAWAY,0,1,178.20333333333335,300,1,9e798646,481,1514.3466666666666,0.3906569169542861,RUNAWAY,0,1,178.20333333333335,300,1,9e798646,481,1514.3466666666666,0.3906569169542861,RUNAWAY,0,1,178.20333333333335,300,1,9e798646,481,NA,41042,0.13258195970420505,5.866458393991377,13.414432631423326
0.0226,2.00,0.1,0.05,4,4010,1500,561.0738927004207,549,1514.81,0.3124330224032497,RUNAWAY,0,1,221.24,300,1,efaa36e8,549,1514.81,0.3124330224032497,RUNAWAY,0,1,221.24,300,1,efaa36e8,549,1514.81,0.3124330224032497,RUNAWAY,0,1,221.24,300,1,efaa36e8,549,NA,46506,0.15599419124920424,6.902397842885094,15.839418700606608
0.0453,2.00,0.1,0.05,4,4001,1000,337.6344387073278,313,1533.3633333333332,0.5555043488279577,RUNAWAY,0,1,99.01,300,1,97808ba5,313,1533.3633333333332,0.5555043488279577,RUNAWAY,0,1,99.01,300,1,97808ba5,313,1533.3633333333332,0.5555043488279577,RUNAWAY,0,1,99.01,300,1,97808ba5,313,NA,23446,0.14920980145015003,3.293814601548611,7.999710445132901
0.0453,2.00,0.1,0.05,4,4002,1000,337.6344387073278,314,1571.2333333333333,0.46597789422322167,RUNAWAY,0,1,98.08333333333333,300,1,e0c5493f,314,1571.2333333333333,0.46597789422322167,RUNAWAY,0,1,98.08333333333333,300,1,e0c5493f,314,1571.2333333333333,0.46597789422322167,RUNAWAY,0,1,98.08333333333333,300,1,e0c5493f,314,NA,21790,0.1428239331958456,3.1528462074137975,7.421305700687143
0.0453,2.00,0.1,0.05,4,4003,1000,337.6344387073278,342,1531.9066666666668,0.4747852349577433,RUNAWAY,0,1,115.06,300,1,283cb11d,342,1531.9066666666668,0.4747852349577433,RUNAWAY,0,1,115.06,300,1,283cb11d,342,1531.9066666666668,0.4747852349577433,RUNAWAY,0,1,115.06,300,1,283cb11d,342,NA,23758,0.15974455986966896,3.5263699750478485,8.574131264124736
0.0453,2.00,0.1,0.05,4,4004,1000,337.6344387073278,303,1606.3966666666668,0.4564190247738728,RUNAWAY,0,1,102.04333333333334,300,1,5a1fb193,303,1606.3966666666668,0.4564190247738728,RUNAWAY,0,1,102.04333333333334,300,1,5a1fb193,303,1606.3966666666668,0.4564190247738728,RUNAWAY,0,1,102.04333333333334,300,1,5a1fb193,303,NA,21256,0.14109486323249237,3.1146768925495425,7.596770308698402
