phi,ratio,theta,sigma_s,k_star,seed,stopped_at,copies_per_genome,silenced_fraction,outcome,extinct,saturated,saturation_generation,extinction_generation,entries_per_genome,max_genomes_with_repertoire,saw_nonzero_entry,ever_had_repertoire,captures,mean_displacement,max_abs_entry,exploratory
0.75,2.00,0.1,0.05,4,2006,103,1535.8633333333332,0.035571741409283375,RUNAWAY,0,1,103,NA,3.02,300,1,1,875,0.2452125699739961,0.2813010141975831,1
0.75,2.00,0.1,0.05,4,2007,95,1597.9733333333334,0.024750100126827313,RUNAWAY,0,1,95,NA,4,300,1,1,841,0.2896168570342265,0.24445685102045103,1
0.75,2.00,0.1,0.05,4,2008,127,1516.5766666666666,0.03793411916751104,RUNAWAY,0,1,127,NA,5,300,1,1,966,0.30120318066503987,0.2848519741594068,1
0.75,2.00,0.1,0.05,4,2009,102,1556.7533333333333,0.045517808430365764,RUNAWAY,0,1,102,NA,3.2733333333333334,300,1,1,911,0.2884764829409388,0.28597423889733875,1
0.75,2.00,0.1,0.05,4,2010,125,1557.5733333333333,0.0692765669674194,RUNAWAY,0,1,125,NA,5,300,1,1,952,0.3310166984999689,0.2572275987845906,1
0.875,2.00,0.1,0.05,4,2001,130,1555.9366666666667,0.018801108014250795,RUNAWAY,0,1,130,NA,2,300,1,1,1047,0.48557690070478876,0.13844575099066758,1
0.875,2.00,0.1,0.05,4,2002,142,1519.0466666666666,0.014890918426908104,RUNAWAY,0,1,142,NA,2.0366666666666666,300,1,1,861,0.46720798896517607,0.13014035765925083,1
0.875,2.00,0.1,0.05,4,2003,131,1591.71,0.0313206132607908,RUNAWAY,0,1,131,NA,3,300,1,1,820,0.489025936814911,0.12216051986993479,1
0.875,2.00,0.1,0.05,4,2004,123,1581.1133333333332,0.02158183895735916,RUNAWAY,0,1,123,NA,1,300,1,1,432,0.24130308107577148,0.13494837685755534,1
0.875,2.00,0.1,0.05,4,2005,109,1646.5266666666666,0.004508480478097328,RUNAWAY,0,1,109,NA,2,300,1,1,387,0.20585061360729834,0.2006724426675379,1
0.875,2.00,0.1,0.05,4,2006,111,1662.9,0.03407901858199531,RUNAWAY,0,1,111,NA,2,300,1,1,1080,0.4050288649671147,0.11576620811925056,1
0.875,2.00,0.1,0.05,4,2007,115,1558.7233333333334,0.0064112297029406545,RUNAWAY,0,1,115,NA,2.04,300,1,1,732,0.4959808281092268,0.13613336274068236,1
0.875,2.00,0.1,0.05,4,2008,108,1532.03,0.06053406264890374,RUNAWAY,0,1,108,NA,2,300,1,1,383,0.24625721131499675,0.13004356067946624,1
0.875,2.00,0.1,0.05,4,2009,129,1548.6666666666667,0.03881618596642273,RUNAWAY,0,1,129,NA,2.26,300,1,1,525,0.3299750098636291,0.12956204927267329,1
0.875,2.00,0.1,0.05,4,2010,141,1585.7533333333333,0.036924616270710454,RUNAWAY,0,1,141,NA,2,300,1,1,346,0.20528621978981795,0.11764289286534893,1
1,2.00,0.1,0.05,4,2001,135,1618.17,0.0224801267275173,RUNAWAY,0,1,135,NA,1,300,0,1,258,0.07983197765611111,0,1
1,2.00,0.1,0.05,4,2002,122,1534.6433333333334,0.01653804467053148,RUNAWAY,0,1,122,NA,1,300,0,1,265,0.07817053031814748,0,1
1,2.00,0.1,0.05,4,2003,125,1537.8166666666666,0.01924156542283974,RUNAWAY,0,1,125,NA,1,300,0,1,303,0.06801213136817477,0,1
1,2.00,0.1,0.05,4,2004,129,1572.7266666666667,0.014673030702516649,RUNAWAY,0,1,129,NA,1,300,0,1,273,0.07868839826180299,0,1
1,2.00,0.1,0.05,4,2005,128,1516.69,0.013984400239996309,RUNAWAY,0,1,128,NA,1,300,0,1,312,0.07331571625404892,0,1
1,2.00,0.1,0.05,4,2006,147,1576.78,0.015176498940879513,RUNAWAY,0,1,147,NA,1,300,0,1,325,0.0665253975664834,0,1
1,2.00,0.1,0.05,4,2007,125,1560.1066666666666,0.018626931491863803,RUNAWAY,0,1,125,NA,1,300,0,1,326,0.07452796267933533,0,1
1,2.00,0.1,0.05,4,2008,146,1641.9233333333334,0.012333097160443951,RUNAWAY,0,1,146,NA,1,300,0,1,332,0.07284201563148207,0,1
1,2.00,0.1,0.05,4,2009,118,1615.8266666666666,0.019818544893429164,RUNAWAY,0,1,118,NA,1,300,0,1,344,0.06764675210981079,0,1
1,2.00,0.1,0.05,4,2010,151,1572.07,0.02549080723716713,RUNAWAY,0,1,151,NA,1,300,0,1,326,0.06357448135636264,0,1
0,3.33,0.1,0.03,11,2001,600,269.92,0.9487872950009879,CONTROLLED,0,0,NA,NA,123.97,300,1,1,35719,0,9.12081032632962,0
0,3.33,0.1,0.03,11,2002,600,250.67666666666668,0.9290187891440501,CONTROLLED,0,0,NA,NA,141.63666666666666,300,1,1,41322,0,10.548618813751524,0
0,3.33,0.1,0.03,11,2003,600,262.8,0.9490233384069,CONTROLLED,0,0,NA,NA,148.86,300,1,1,43696,0,10.970331344639202,0
0,3.33,0.1,0.03,11,2004,600,273.2633333333333,0.9428756144866368,CONTROLLED,0,0,NA,NA,142.55,300,1,1,42713,0,10.714200980329164,0
0,3.33,0.1,0.03,11,2005,600,260.87333333333333,0.9491835117937185,CONTROLLED,0,0,NA,NA,147.30333333333334,300,1,1,42063,0,10.903474559496269,0
0,3.33,0.1,0.03,11,2006,600,255.15,0.940779933372526,CONTROLLED,0,0,NA,NA,140.59,300,1,1,41173,0,10.436515051645777,0
